host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2297131,2012-05-05,N/A,FALSE,1,1,Brookhaven-Amesbury,Private room,1,2,1,NA,$54.00,33,TRUE,95,10,9,10,10,9,9
2307239,2012-05-06,within an hour,TRUE,1,1,Waterfront Communities-The Island,Entire home/apt,1,4,1,NA,$190.00,62,TRUE,99,10,10,10,10,10,10
1039434,2011-08-30,within a few hours,TRUE,3,3,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,$164.00,55,TRUE,99,10,10,10,10,10,9
2349264,2012-05-11,within a day,TRUE,1,1,Oakwood Village,Entire home/apt,1,2,1,495,$107.00,98,TRUE,97,10,10,10,10,9,10
2432916,2012-05-22,a few days or more,FALSE,1,1,Wychwood,Private room,1,1,1,NA,$76.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1241161,2011-10-03,within an hour,TRUE,2,2,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,2,0,NA,$115.00,115,TRUE,95,10,9,10,10,10,10
1615266,2012-01-16,within an hour,TRUE,2,2,Parkwoods-Donalda,Entire home/apt,2,7,4,NA,$200.00,1,TRUE,100,10,8,10,10,8,8
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,1,1,NA,$80.00,12,TRUE,84,9,9,10,9,8,8
2518222,2012-06-01,within an hour,TRUE,3,3,Little Portugal,Entire home/apt,2,5,2,1100,$138.00,117,TRUE,98,10,9,10,10,10,10
211533,2010-08-24,N/A,FALSE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,2,3,1,NA,$150.00,6,TRUE,84,10,8,10,10,10,10
533496,2011-04-25,within a few hours,FALSE,2,2,Junction Area,Entire home/apt,1,2,0,0,$87.00,167,TRUE,97,10,10,10,10,10,10
2549053,2012-06-04,within a few hours,FALSE,2,2,Trinity-Bellwoods,Entire home/apt,1,5,3,NA,$225.00,76,TRUE,99,10,10,10,10,10,10
1615266,2012-01-16,within an hour,TRUE,2,2,Parkwoods-Donalda,Entire home/apt,1,4,1,NA,$52.00,43,TRUE,95,10,10,10,10,9,10
1559845,2012-01-02,within a day,TRUE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,2,1,1300,$143.00,60,TRUE,95,10,10,10,10,9,9
2588098,2012-06-09,within a few hours,FALSE,1,1,Willowdale East,Entire home/apt,1,2,1,NA,$68.00,6,TRUE,76,9,10,9,8,8,8
